"161";"abych";"1539";"486,653"
"162";"dále";"1528";"483,175"
"163";"nevím";"1528";"483,175"
"164";"první";"1526";"482,542"
"165";"jim";"1507";"476,534"
"166";"však";"1502";"474,953"
"167";"chtěl";"1489";"470,843"
"168";"světa";"1472";"465,467"
"169";"svého";"1470";"464,834"
"170";"nikdy";"1466";"463,57"
"171";"vše";"1460";"461,672"
"172";"lidí";"1457";"460,724"
"173";"mohl";"1449";"458,194"
"174";"nich";"1443";"456,297"
"175";"jsi";"1441";"455,664"
"176";"všech";"1440";"455,348"
"177";"svůj";"1426";"450,921"
"178";"svět";"1398";"442,067"
"179";"zase";"1396";"441,435"
"180";"myslím";"1393";"440,486"
"181";"tento";"1390";"439,537"
"182";"říci";"1387";"438,589"
"183";"všechny";"1379";"436,059"
"184";"místo";"1375";"434,794"
"185";"jest";"1369";"432,897"
"186";"]";"1362";"430,683"
"187";"[";"1361";"430,367"
"188";"kdy";"1353";"427,837"
"189";"sobě";"1351";"427,205"
"190";"skoro";"1348";"426,256"
"191";"podle";"1347";"425,94"
"192";"jiné";"1331";"420,881"
"193";"mají";"1330";"420,565"
"194";"člověka";"1326";"419,3"
"195";"nyní";"1322";"418,035"
"196";"jde";"1309";"413,924"
"197";"práce";"1305";"412,659"
"198";"její";"1299";"410,762"
"199";"rád";"1291";"408,232"
"200";"celý";"1277";"403,805"
"201";"takový";"1271";"401,908"
"202";"paní";"1261";"398,746"
"203";"ke";"1260";"398,43"
"204";"mít";"1253";"396,216"
"205";"tě";"1239";"391,789"
"206";"let";"1236";"390,84"
"207";"takové";"1233";"389,892"
"208";"věc";"1222";"386,413"
"209";"byly";"1222";"386,413"
"210";"jej";"1215";"384,2"
"211";"prý";"1210";"382,619"
"212";"něm";"1197";"378,508"
"213";"tolik";"1194";"377,559"
"214";"někdy";"1193";"377,243"
"215";"oči";"1185";"374,714"
"216";"totiž";"1175";"371,551"
"217";"on";"1167";"369,022"
"218";"pokud";"1159";"366,492"
"219";"dělat";"1158";"366,176"
"220";"svým";"1152";"364,278"
"221";"docela";"1146";"362,381"
"222";"svých";"1140";"360,484"
"223";"nebylo";"1139";"360,168"
"224";"někdo";"1137";"359,535"
"225";"jinak";"1135";"358,903"
"226";"toto";"1132";"357,954"
"227";"dr";"1130";"357,322"
"228";"vlastně";"1129";"357,006"
"229";"ruce";"1117";"353,211"
"230";"dva";"1112";"351,63"
"231";"tato";"1108";"350,365"
"232";"nemá";"1102";"348,468"
"233";"pravda";"1099";"347,519"
"234";"nikdo";"1096";"346,57"
"235";"stejně";"1085";"343,092"
